#airframe_info," log_version=""1.02"""," airframe_name=""Cirrus SR22 Turbo Normalized"""," unit_software_part_number=""006-B0319-C4"""," unit_software_version=""14.04"""," system_software_part_number=""006-B0764-24"""," system_id=""2659F6C3C""", mode=NORMAL, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, ,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2/5/2021, 12:01:23,  -06:00,       ,             ,             ,462.3,29.9,        ,7.5,0,       ,0.47,       ,       ,       ,       ,      ,      ,27.7,28.6,4.7,41.09,43.19,3.39,163.92,42.56,14.11,1062.3,0.16,263.98,235.12,267.99,251.16,255.73,215.83,1031.58,1068.04,1044.69,1042.32,1061.19,1039.8,963.94,1027.13,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:23,  -06:00,       ,             ,             ,460.3,29.9,        ,7.5,0,       ,-31.44,       ,       ,       ,       ,      ,      ,27.7,28.7,4.5,41.09,43.21,3.41,163.95,42.55,14.12,1061.2,0.16,264.08,235.17,268.13,251.25,255.84,215.92,1034.16,1065.29,1043.98,1041.32,1056.34,1035.63,961.64,1026.3,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:24,  -06:00,       ,             ,             ,462.3,29.9,        ,7.5,0,       ,0.04,       ,       ,       ,       ,      ,      ,27.7,28.6,4.2,41.09,43.22,3.38,164.05,42.55,14.1,1064.6,0.16,264.19,235.21,268.26,251.37,255.96,215.98,1033.68,1066.07,1043.95,1044.13,1056.91,1041.53,964.92,1027.67,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:25,  -06:00,       ,             ,             ,464.3,29.9,        ,7.5,0,       ,45.98,       ,       ,       ,       ,      ,      ,27.7,28.6,4,41.08,43.23,3.36,164.06,42.52,14.17,1056.7,0.16,264.28,235.26,268.38,251.44,256.08,216.06,1033.15,1067.13,1043.3,1044.26,1056.79,1032.39,963.48,1027.11,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:26,  -06:00,       ,             ,             ,461.3,29.9,        ,7.5,0,       ,1.91,       ,       ,       ,       ,      ,      ,27.7,28.6,3.8,41.07,43.24,3.35,164.1,42.46,14.19,1056.2,0.16,264.4,235.3,268.52,251.58,256.2,216.11,1032.27,1067.86,1042.85,1042.62,1055.49,1027.2,963.15,1025.79,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:27,  -06:00,       ,             ,             ,462.3,29.9,        ,7.5,0,       ,-4.47,       ,       ,       ,       ,      ,      ,27.7,28.6,3.6,41.07,43.25,3.36,164.09,42.48,14.16,1060.1,0.16,264.49,235.33,268.63,251.65,256.3,216.19,1032.43,1068.72,1041.98,1042.92,1055.01,1033.2,964.32,1025.21,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:28,  -06:00,       ,             ,             ,462.3,29.9,        ,7.5,0,       ,9.16,       ,       ,       ,       ,      ,      ,27.7,28.6,3.5,41.06,43.27,3.37,164.11,42.44,14.14,1059,0.16,264.56,235.36,268.74,251.77,256.41,216.25,1031.98,1069.11,1041.7,1042.66,1050.25,1031.67,964.14,1024.52,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:29,  -06:00,       ,             ,             ,462.3,29.9,        ,7.5,0,       ,-1.2,       ,       ,       ,       ,      ,      ,27.7,28.6,3.3,41.05,43.27,3.36,164.11,42.42,14.17,1057,0.16,264.68,235.42,268.88,251.86,256.53,216.31,1030.79,1070.72,1040.5,1043.44,1053.41,1030.51,964.43,1023.17,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:31,  -06:00,       ,             ,             ,460.3,29.9,        ,7.5,0,       ,-45.26,       ,       ,       ,       ,      ,      ,27.7,28.6,3.2,41.04,43.28,3.36,164.14,42.43,14.16,1058.6,0.16,264.77,235.5,268.98,251.97,256.62,216.4,1031.49,1069.5,1039.59,1047.31,1048.74,1038.72,966.19,1021.8,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/5/2021, 12:01:32,  -06:00,       ,             ,             ,461.3,29.9,        ,7.5,0,       ,-21.48,       ,       ,       ,       ,      ,      ,27.7,28.7,3,41.03,43.28,3.37,164.14,42.41,14.18,1057.3,0.16,264.86,235.51,269.1,252.06,256.74,216.45,1031.28,1072.46,1039.75,1047.11,1051.55,1037.52,967.09,1022.52,        ,0,  GPS,238.2,111.1,111.1,134.8,124.75,       ,       ,       ,      ,       ,       ,-1.4,0,  NONE,   NONE,      ,      ,      , NoSoln,3704,      ,       ,      ,       
